Replicate,Treatment,Males,Females,N.offspring,MF,days,Offspring,Exp.Rep
1,Poly,Wheat,Wheat,55,WW,7,7.857142857,Replicate 1
2,Poly,Wheat,Wheat,61,WW,7,8.714285714,Replicate 1
3,Poly,Wheat,Wheat,76,WW,7,10.85714286,Replicate 1
4,Poly,Wheat,Wheat,2,WW,7,0.285714286,Replicate 1
5,Poly,Wheat,Wheat,8,WW,7,1.142857143,Replicate 1
6,Poly,Wheat,Wheat,57,WW,7,8.142857143,Replicate 1
7,Poly,Wheat,Wheat,61,WW,7,8.714285714,Replicate 1
8,Poly,Wheat,Wheat,45,WW,7,6.428571429,Replicate 1
9,Poly,Wheat,Wheat,81,WW,7,11.57142857,Replicate 1
10,Poly,Wheat,Wheat,35,WW,7,5,Replicate 1
11,Poly,Wheat,Wheat,40,WW,7,5.714285714,Replicate 1
12,Poly,Wheat,Wheat,55,WW,7,7.857142857,Replicate 1
13,Poly,Wheat,Wheat,0,WW,7,0,Replicate 1
14,Poly,Wheat,Wheat,53,WW,7,7.571428571,Replicate 1
15,Poly,Wheat,Wheat,51,WW,7,7.285714286,Replicate 1
16,Poly,Wheat,Wheat,44,WW,7,6.285714286,Replicate 1
17,Poly,Wheat,Wheat,51,WW,7,7.285714286,Replicate 1
18,Poly,Wheat,Wheat,43,WW,7,6.142857143,Replicate 1
19,Poly,Wheat,Wheat,42,WW,7,6,Replicate 1
20,Poly,Wheat,Wheat,38,WW,7,5.428571429,Replicate 1
21,Poly,Wheat,Wheat,72,WW,7,10.28571429,Replicate 1
22,Poly,Wheat,Wheat,66,WW,7,9.428571429,Replicate 1
23,Poly,Wheat,Wheat,0,WW,7,0,Replicate 1
24,Poly,Wheat,Wheat,42,WW,7,6,Replicate 1
25,Poly,Wheat,Wheat,47,WW,7,6.714285714,Replicate 1
1,Mono,Wheat,Wheat,53,WW,7,7.571428571,Replicate 1
2,Mono,Wheat,Wheat,50,WW,7,7.142857143,Replicate 1
3,Mono,Wheat,Wheat,62,WW,7,8.857142857,Replicate 1
4,Mono,Wheat,Wheat,58,WW,7,8.285714286,Replicate 1
5,Mono,Wheat,Wheat,59,WW,7,8.428571429,Replicate 1
6,Mono,Wheat,Wheat,62,WW,7,8.857142857,Replicate 1
7,Mono,Wheat,Wheat,65,WW,7,9.285714286,Replicate 1
8,Mono,Wheat,Wheat,64,WW,7,9.142857143,Replicate 1
