Replicate,Treatment,Sex,Weight,Unt_Length,Length,Rel_weight,block,RW
1,Adapted17,Female,0.0022,82,2.64516129,0.000831707,1,0.008317073
2,Adapted17,Female,0.002,80,2.580645161,0.000775,1,0.00775
3,Adapted17,Female,0.0024,85,2.741935484,0.000875294,1,0.008752941
4,Adapted17,Female,0.0024,84,2.709677419,0.000885714,1,0.008857143
5,Adapted17,Female,0.0027,87,2.806451613,0.000962069,1,0.00962069
6,Adapted17,Female,0.002,84,2.709677419,0.000738095,1,0.007380952
7,Adapted17,Female,0.0023,85,2.741935484,0.000838824,1,0.008388235
8,Adapted17,Female,0.0022,82,2.64516129,0.000831707,1,0.008317073
9,Adapted17,Female,0.0021,82,2.64516129,0.000793902,1,0.007939024
10,Adapted17,Female,0.0023,84,2.709677419,0.00084881,1,0.008488095
11,Adapted17,Female,0.002,81,2.612903226,0.000765432,1,0.007654321
12,Adapted17,Female,0.0023,83,2.677419355,0.000859036,1,0.008590361
13,Adapted17,Female,0.0022,87,2.806451613,0.000783908,1,0.00783908
14,Adapted17,Female,0.0023,83,2.677419355,0.000859036,1,0.008590361
15,Adapted17,Female,0.0018,78,2.516129032,0.000715385,1,0.007153846
16,Adapted17,Female,0.0024,84,2.709677419,0.000885714,1,0.008857143
1,Adapted17,Male,0.0021,78,2.516129032,0.000834615,1,0.008346154
2,Adapted17,Male,0.0023,81,2.612903226,0.000880247,1,0.008802469
3,Adapted17,Male,0.0017,77,2.483870968,0.000684416,1,0.006844156
4,Adapted17,Male,0.0018,81,2.612903226,0.000688889,1,0.006888889
5,Adapted17,Male,0.0021,79,2.548387097,0.000824051,1,0.008240506
6,Adapted17,Male,0.002,80,2.580645161,0.000775,1,0.00775
7,Adapted17,Male,0.0016,76,2.451612903,0.000652632,1,0.006526316
8,Adapted17,Male,0.0019,78,2.516129032,0.000755128,1,0.007551282
9,Adapted17,Male,0.0021,80,2.580645161,0.00081375,1,0.0081375
10,Adapted17,Male,0.0015,76,2.451612903,0.000611842,1,0.006118421
11,Adapted17,Male,0.0023,80,2.580645161,0.00089125,1,0.0089125
12,Adapted17,Male,0.0019,80,2.580645161,0.00073625,1,0.0073625
13,Adapted17,Male,0.0016,78,2.516129032,0.000635897,1,0.006358974
14,Adapted17,Male,0.0016,76,2.451612903,0.000652632,1,0.006526316
15,Adapted17,Male,0.0017,79,2.548387097,0.000667089,1,0.006670886
16,Adapted17,Male,0.0019,80,2.580645161,0.00073625,1,0.0073625
17,Adapted17,Male,0.0018,79,2.548387097,0.000706329,1,0.007063291
18,Adapted17,Male,0.0017,77,2.483870968,0.000684416,1,0.006844156
19,Adapted17,Male,0.0018,79,2.548387097,0.000706329,1,0.007063291
1,Adapted9,Male,0.0018,75,2.34375,0.000768,1,0.00768
2,Adapted9,Male,0.0015,68,2.125,0.000705882,1,0.007058824
3,Adapted9,Male,0.0014,72,2.25,0.000622222,1,0.006222222
4,Adapted9,Male,0.0015,70,2.1875,0.000685714,1,0.006857143
5,Adapted9,Male,0.0015,71,2.21875,0.000676056,1,0.006760563
6,Adapted9,Male,0.0015,68,2.125,0.000705882,1,0.007058824
7,Adapted9,Male,0.0017,74,2.3125,0.000735135,1,0.007351351
8,Adapted9,Male,0.0015,69,2.15625,0.000695652,1,0.006956522
9,Adapted9,Male,0.0017,70,2.1875,0.000777143,1,0.007771429
10,Adapted9,Male,0.0015,67,2.09375,0.000716418,1,0.007164179
11,Adapted9,Male,0.0016,73,2.28125,0.00070137,1,0.007013699
12,Adapted9,Male,0.0017,73,2.28125,0.000745205,1,0.007452055
13,Adapted9,Male,0.0016,66,2.0625,0.000775758,1,0.007757576
14,Adapted9,Male,0.0018,77,2.40625,0.000748052,1,0.007480519
